ticker,cik,metric,fy,form,fp,filed,value,unit,tag_used,source,carry_from_fy,accn,start,end
NVDA,0001045810,IncomeTaxExpenseBenefit,2015,10-Q,Q3,2014-11-19,48293000,USD,IncomeTaxExpenseBenefit,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,AccountsReceivableNetCurrent,2015,10-Q,Q3,2014-11-19,426357000,USD,AccountsReceivableNetCurrent,primary,,0001045810-14-000188,,2014-01-26
NVDA,0001045810,Revenues,2016,10-K,FY,2016-03-17,4130000000,USD,Revenues,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,NetIncomeLoss,2016,10-K,FY,2016-03-17,440000000,USD,NetIncomeLoss,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,EarningsPerShareBasic,2016,10-K,FY,2016-03-17,0.75,USD/shares,EarningsPerShareBasic,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,EarningsPerShareDiluted,2016,10-K,FY,2016-03-17,0.74,USD/shares,EarningsPerShareDiluted,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,OperatingIncomeLoss,2016,10-K,FY,2016-03-17,496000000,USD,OperatingIncomeLoss,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,GrossProfit,2016,10-K,FY,2016-03-17,2268000000,USD,GrossProfit,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,ResearchAndDevelopmentExpense,2016,10-K,FY,2016-03-17,1336000000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2016,10-K,FY,2016-03-17,436000000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-16-000205,2013-01-28,2014-01-26
NVDA,0001045810,Assets,2016,10-K,FY,2016-03-17,7201000000,USD,Assets,primary,,0001045810-16-000205,,2015-01-25
NVDA,0001045810,Liabilities,2016,10-K,FY,2016-03-17,2783000000,USD,Liabilities,primary,,0001045810-16-000205,,2015-01-25
NVDA,0001045810,StockholdersEquity,2016,10-K,FY,2016-03-17,4827000000,USD,StockholdersEquity,primary,,0001045810-16-000205,,2013-01-27
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2016,10-K,FY,2016-03-17,733000000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-16-000205,,2013-01-27
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2016,10-K,FY,2016-03-17,835000000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-16-000205,2013-01-28,2014-01-26
